            table_name             |           column_name            
-----------------------------------+----------------------------------
 commission_approval_history       | action
 commission_approval_history       | performed_by_name
 commission_approval_history       | reason
 commission_approval_history       | previous_status
 commission_approval_history       | new_status
 reminder_logs                     | channel
 reminder_logs                     | status
 reminder_logs                     | error_message
 internal_tasks                    | title
 internal_tasks                    | description
 internal_tasks                    | meeting_url
 internal_tasks                    | meeting_platform
 internal_tasks                    | google_calendar_event_id
 internal_tasks                    | zoom_meeting_id
 webhooks                          | name
 webhooks                          | description
 webhooks                          | url
 webhooks                          | method
 webhooks                          | trigger_event
 webhooks                          | secret_key
 message_events                    | content_text
 message_events                    | group_name
 sales_scripts                     | title
 sales_scripts                     | content
 sales_scripts                     | objection_type
 sales_scripts                     | funnel_stage
 financial_entries                 | entry_type
 financial_entries                 | description
 financial_entries                 | status
 financial_entries                 | recurrence_type
 financial_entries                 | omie_id
 financial_entries                 | document_number
 financial_entries                 | notes
 financial_entries                 | attachment_url
 financial_entries                 | attachment_name
 financial_entries                 | currency
 financial_entries                 | source
 financial_entries                 | openfinance_transaction_id
 ai_usage_alerts                   | alert_type
 ai_usage_alerts                   | email_sent_to
 marketing_brand_voice             | personality
 marketing_brand_voice             | target_audience
 marketing_brand_voice             | niche
 marketing_brand_voice             | values_and_mission
 marketing_brand_voice             | emoji_style
 marketing_brand_voice             | hashtag_strategy
 marketing_brand_voice             | ai_summary
 threecplus_call_logs              | call_id
 threecplus_call_logs              | call_type
 threecplus_call_logs              | direction
 threecplus_call_logs              | phone
 threecplus_call_logs              | contact_name
 threecplus_call_logs              | campaign_id
 threecplus_call_logs              | campaign_name
 threecplus_call_logs              | status
 threecplus_call_logs              | qualification
 threecplus_call_logs              | qualification_name
 deal_loss_sub_reasons             | name
 video_call_sessions               | daily_room_name
 video_call_sessions               | daily_room_url
 video_call_sessions               | status
 video_call_sessions               | recording_id
 video_call_sessions               | recording_url
 video_call_sessions               | transcription
 video_call_sessions               | analysis
 video_call_sessions               | analysis_status
 video_call_sessions               | participant_name
 video_call_sessions               | participant_phone
 video_call_sessions               | notes
 sales_chat_sessions               | title
 sales_monthly_goals               | year_month
 sales_monthly_goals               | notes
 sales_monthly_goals               | goal_type
 sales_monthly_goals               | cargo
 sales_chat_messages               | role
 sales_chat_messages               | content
 sales_dashboard_pinned_kpis       | label
 sales_dashboard_pinned_kpis       | icon
 sales_dashboard_pinned_kpis       | color
 sales_dashboard_pinned_kpis       | unit
 sales_dashboard_pinned_kpis       | question
 sales_dashboard_pinned_kpis       | last_value_text
 sales_dashboard_pinned_kpis       | last_comparison
 sales_dashboard_pinned_kpis       | last_trend
